Investor Name,Type,POC Name,Designation,Website,LinkedIn,Twitter,Cheque Size / Portfolio Range,Sectors (Tags),Portfolio Companies,Profile Bio
KIFS Trade Capital,Angel Investor,Kushal Jayesh Khandwala,Director at KIFS Trade Capital,,https://www.linkedin.com/in/kushal-khandwala-76b88860/,,,"Fintech, HealthTech, Consumer","Growthschool, Bugbase, Wealth42","Kushal Khandwala is currently serving as a Director at KIFS Trade Capital Pvt Ltd, where he holds a significant leadership position. He has a strong educational background, having completed his post-graduate studies at the University of Warwick, where he obtained a Master of Science (MSc) degree. In addition to his role at KIFS, Kushal is an active investor in various companies like growthschool, bugbase, and wealth42. With his expertise and qualifications, he plays a crucial role in both his investments and the company's operations, driving growth and success in the financial industry. His position as a Director highlights his importance in making strategic decisions and guiding the company's future trajectory. Kushal's valuable contributions and knowledge in the field make him a valuable asset to KIFS Trade Capital Pvt Ltd and his investment portfolio."
Groww,Angel Investor,Lalit Keshre,Founder & CEO at Groww,,https://www.linkedin.com/in/lalitkeshre/,https://twitter.com/lkeshre?lang=en,$3M - $6M,"Fintech, Edtech, Consumer","Ultrahuman, Tinker, Turnip, Flash, DEcentro","Lalit Keshre is an esteemed Indian angel investor and entrepreneur. He currently serves as the Co-founder and CEO of Groww, a prominent company in India. Lalit's entrepreneurial journey includes founding Flipkart and Eduflix, as well as working as a Product and Engineer at Ittiam Systems. Additionally, he has held a position as a Director at Aaditya Vidya Vihar School. Lalit holds a degree in Electrical Engineering with a specialization in Micro-Eelectronics from the Indian Institute of Technology, Bombay."
Lead Angels Network,VC,Jash Ranawat,Investment Associate at Lead Angels Network,https://leadangels.in/,https://www.linkedin.com/in/jashranawat/,https://twitter.com/LeadAngels,,"AI/ML, Fintech, HealthTech, Edtech, SaaS, Mobility, Consumer, Media, Agritech","Transporter, GoDesi, DriveU, Chefkart",Lead Angels is a privately owned angel network founded by a team of three originally from IIT Bombay with the aim of improving early stage investment outcomes. The team accomplishes this by providing professional assistance to investor-members in company evaluation and the portfolio companies in their operations. The Lead Angels team members are successful entrepreneurs and professionals across diverse sectors who wish to identify and support high potential entrepreneurs. They are supported by a team of experienced and qualified executives who are passionate about their work for both entrepreneurs and investors.
Lets Venture,VC (Tier 3),Devavrat Kulkarni,Investment Analyst at Lets Venture,https://www.letsventure.com/,https://www.linkedin.com/in/devavratkulkarni/,,$1M - $3M,"Fintech, HealthTech, Edtech, SaaS, Mobility, Consumer, Media, Agritech","Burncal, Airmeet, Flatheads, Aisle, Dukaan","LetsVenture enables startups looking to raise seed/angel money to create investment ready profiles online and connect to accredited Investors. They also allow startups to get their business plans reviewed by experts in their domain and connect to mentors. After a startup has a verbal commitment from an investor, LetsVenture helps them in the funding closure process through their Commitment-to-Closure package which takes care of all legal and financial matters."
Lightbox,VC (Tier 1),Varun Varma,Investment team member at Lightbox,https://www.lightbox.vc/,https://www.linkedin.com/in/varunvarma2/,,$10M - $20M,"Fintech, Edtech, SaaS, Consumer, Media","Inmobi, Rupeek, Dunzo, Furlenco, Cleartrip","Lightbox is a prominent venture capital firm based in Mumbai, specializing in early-stage consumer technology businesses. With a substantial $400 million fund, Lightbox has a proven track record of success in the Indian venture capital landscape. Over the past 12 years, they have invested in and nurtured global technology companies operating in India, such as InMobi, Cleartrip, and Naukri.com. The Lightbox team comprises a diverse group of entrepreneurs, technologists, and investors with extensive operational and investing experience in the consumer technology sector. Their current portfolio includes notable ventures like Furlenco, Rebel Foods, Droom, Flinto, and Melorra. They also made headlines with the acquisition of their portfolio company, Embibe, by Reliance Jio for a substantial $180 million, representing the largest AI investment in education worldwide."
Lightspeed,VC (Tier 1),Romit Mehta,Associate at Lightspeed,https://lsvp.com/,https://www.linkedin.com/in/romit-mehta-b641262a/,https://twitter.com/romitme,Greater than $20M,"SaaS, Consumer, Mobility","Udaan, Sharechat, Snap, Epic Games, Grubhub etc.","Lightspeed Venture Partners is an investment firm that operates across various stages and sectors in India. Their investment focus includes technology-driven businesses as well as non-technology opportunities in sectors like advertising, media, business services, financial services, healthcare, education, and retail. They are dedicated to supporting talented entrepreneurs and their teams by providing growth or early-stage capital. In addition to financial support, Lightspeed Venture Partners offers ongoing consulting and advising to assist these entrepreneurs in disrupting and transforming large markets within the domestic economy. Their goal is to empower entrepreneurs to drive innovation and create substantial impact in their respective industries. Their check size ranges from US$100,000 up to US$15 million, depending on the company, the opportunity, and its stage of evolution."
"OYO Rooms, India",Angel Investor,Maninder Gulati,"Chief Strategy Officer at OYO Rooms, India",,,https://twitter.com/maninderg13?lang=en,,"HealthTech, SaaS, Mobility, Consumer, Digital Entertainment","Meesho, Daolens, Wiingy, Frontrow","Originating from Singapore, Maninder Gulati stands out as a distinguished Angel Investor celebrated for his astute investment strategies. His investment endeavors are particularly concentrated in vibrant and evolving sectors such as Media and Entertainment, Consumer Electronics, and the progressive realm of Agritech and Farming. Maninder's portfolio of investments boasts a carefully curated selection of startups that highlight his discerning approach. Notable ventures like Finsire, Vetic, and Driffle are just a few among the impressive thirty others that showcase his commitment to fostering innovation and growth.Hailing from the innovative landscape of Singapore, Maninder Gulati has carved a niche for himself within the investment community. His distinctive focus spans across sectors that drive technological advancement, encompassing Media and Entertainment, Consumer Electronics, as well as the vital domain of Agritech and Farming. This multifaceted approach underscores his capacity to identify groundbreaking opportunities and trends that are shaping the future. Maninder's investment portfolio serves as a testament to his discernment and calculated risktaking. His meticulous selection process is evident in ventures like Finsire, Vetic, and Driffle, each representing the fusion of his strategic vision with their potential for transformative impact. This investment journey reflects his dedication to nurturing startups that hold promise for significant advancements in their respective fields. Beyond the financial contributions, Maninder Gulati's role extends to that of a mentor and guide. His active involvement in fostering innovation and supporting entrepreneurs echoes his commitment to creating a robust startup ecosystem. His accumulated experience and insights are valuable resources for startups seeking not only financial backing but also guidance in their growth journey. In conclusion, Maninder Gulati's presence as an Angel Investor is characterized by his distinct investment philosophy and commitment to propelling startups forward. His strategic focus on Media and Entertainment, Consumer Electronics, and Agritech and Farming speaks volumes about his ability to recognize trends with transformative potential. His investments symbolize not just capital infusion, but a partnership aimed at nurturing innovation and driving positive change within the startup landscape."
WindT Angels,Angel Investor,Manish Gupta,Partner at WindT Angels,,https://www.linkedin.com/in/maniishgupta/,,,"AI/ML, SaaS","Pixxel, Aereo, Lightspeed.Ai, CYNLR","Manish Gupta stands as a distinguished Angel Investor based in Delhi, with a notable track record within the investment realm. His investment focus spans prominent sectors such as Consumer Electronics, Hardware and Technology, as well as the dynamic fields of AI and ML. Manish's investment portfolio shines with strategic choices, including notable startups like Bellatrix Aerospace, Lightspeedai Labs, Aereo, and a couple more. Hailing from Delhi, Manish Gupta has firmly established himself as a key player in the startup ecosystem. His investment interests reflect a strategic approach that encompasses Consumer Electronics, Hardware and Technology, as well as cuttingedge AI and ML innovations. This underscores not only his versatility but also his knack for recognizing opportunities within dynamic industries."
"WaterBridge Ventures, India",Angel Investor,Manish Kheterpal,"MD at WaterBridge Ventures, India",,https://www.linkedin.com/in/mkheterpal/,,,"Edtech, SaaS, Consumer","Magicpin, Atlan, Baxi, Chalo,","Manish Kheterpal serves as the Managing Partner at WaterBridge Ventures, bringing extensive expertise to the realm of private market investment. With over 15 years of experience in venture capital and private equity, coupled with six years of hands-on involvement in technology, telecom, and education sectors, Manish Kheterpal has established himself as a notable figure in the industry. His academic background includes a bachelor’s degree in engineering from IIT Delhi and an MBA from the prestigious Stanford Graduate School of Business.Manish's investment portfolio reflects his strategic insights, encompassing prominent startups like Chalo, PocketPills, Dataweave, SocialCops, Magicpin, Unacademy, and 9Stacks. Throughout his investment journey, Manish has orchestrated and overseen investments totaling over $500 Million, with a primary focus on both the Indian market and the US-India corridor. Prior to his tenure at WaterBridge Ventures, Manish devoted 11 years of his professional career to senior investment positions at respected entities such as Rho Ventures, Actis Capital, and Providence Equity Partners."
Smile Group,Angel Investor,Manish Vij,Managing Partner at Smile Group,,https://www.linkedin.com/in/linkmanishvij/,,,"Edtech, SaaS, Consumer, Media","Gokwik, Trulymadly, Freecultr, Mitron, Profitwheel","Manish Vij is a seasoned entrepreneur and investor with a focus on internet and technology companies. He has a track record of successful acquisitions, investments, and partnerships in the industry. As a founder or co-founder, he has been associated with companies like Smile Group, SVG Media (which was acquired by DentsoAegis), Quasar (acquired by WPP), and Letsbuy (acquired by Flipkart). Furthermore, he has invested in several leading internet businesses worldwide, establishing himself as a prominent figure in the entrepreneurial and investment landscape."
Mars Shot Ventures,VC (Tier 2),Arjit Johri,Vice President at Mars Shot Ventures,,https://www.linkedin.com/in/arjitjohri/,https://twitter.com/JohriArjit,$4M,"Fintech, HealthTech, SaaS, Consumer, Digital Entertainment",,"Mars Shot is an Angel fund led by Harshil and Shashank, who are the founders of Razorpay, a prominent FinTech company. With their expertise and experience in building successful startups, they are actively involved in investing in and advising early-stage startups. Mars Shot aims to support and nurture the growth of promising entrepreneurial ventures, providing them with the necessary capital and guidance to thrive in their respective industries."
Marwari Catalysts,VC,Anjali Rathi,Investments at Marwari Catalysts,https://www.marwaricatalysts.com/,https://www.linkedin.com/in/anjalirathicfa/,https://twitter.com/marwaricatalyst,,"HealthTech, Edtech, SaaS, Media","Immersivelabz, Yougami, Damroo","Marwari Catalysts is a global startup accelerator that was founded in 2019. The company is a founder and investor-friendly platform with a community of industry experts passionate about entrepreneurship. Marwari Catalysts has a well-seasoned and highly competent team of 100 co-founders from major cities like Jaipur, Surat, Nasik, Delhi-NCR, Mumbai, Ahmedabad, Bangalore, Pune, Hyderabad, Ranchi, Indore, Mangalore, and Chennai. The company has a portfolio of 50+ startups where 70% have already raised their seed round. Additionally, 35% of Marwari Catalysts' portfolio startups have women founders on board. Marwari Catalysts has a backward integration with incubators and front-end integration with the AIFs, VCs, and Angel Networks. This allows the company to provide its portfolio startups with access to a wide range of resources and support. Marwari Catalysts conducts a startup acceleration program called ""Thrive."" This 12-week acceleration program provides the selected startups with a platform to interact with and learn from domain experts and business leaders, making them investor ready."
Matrix,VC (Tier 1),Anand Khetan,Associate at Matrix,https://matrixpartners.in/,https://www.linkedin.com/in/anandkhetan/,https://twitter.com/anandkhetan4,$10M - $20M,"SaaS, Consumer, Mobility, Digital Entertainment, Media","Limeroad, Housejoy, FIITJEE, Ola, mSwipe etc.","Matrix Partners is a venture capital firm that prioritizes building long-term partnerships with entrepreneurs. They selectively invest in companies they believe have the potential to become industry leaders. With a focus on sectors such as mobile technology, healthcare, and consumer internet, Matrix Partners has made 40 investments in 30 companies. However, their support extends beyond just financial investment. They leverage their extensive global network of experts to assist startups in forging strategic partnerships and connecting with customers, investors, and advisors. Matrix Partners' commitment to providing comprehensive support contributes to the success and growth of the startups they work with.Their usual cheque size ranges between $5M-$20M."
Mayfield,VC (Tier 2),Abhay Malla,Investment team member at Mayfield,https://www.mayfield.com/,https://www.linkedin.com/in/abhay-malla-7b3b75149/,,$3M - $6M,"Fintech, HealthTech, Edtech, SaaS, Consumer","Simplilearn, Truefan, Lendingkart, Strata, Milksmart","Mayfield Fund is an early-stage venture capital firm that focuses on investing in companies operating in the consumer and business sectors across non-tech, tech-enabled, and technology verticals. Their investment range spans from $500,000 to $10 million. They seek out passionate founders who are targeting large markets and are committed to building innovative businesses. Mayfield Fund looks for unique solutions that address pain points and have the potential to disrupt existing value chains. By supporting these promising ventures, they aim to foster growth and drive positive change in the market."
Udhyan,Angel Investor,Mekin Maheshwari,Founder at Udhyan,,https://www.linkedin.com/in/mekin/?originalSubdomain=in,,$3M - $6M,"HealthTech, Edtech, SaaS, Consumer, Media","Scaler academy, Aisle, Crejo.fun, Urban company, Josh Talks, Bytebeam","Mekin, the driving force behind Udhyam, envisions fostering entrepreneurship across the nation. With a background in engineering, Mekin has always embraced entrepreneurial roles throughout his career. Notably, he joined Flipkart in 2009, leading their technology division and subsequently heading two new businesses. In his final two years at Flipkart, Mekin took charge of HR, showcasing his deep concern for people's success. Udhyam is a testament to his commitment to empowering individuals and helping them realize their true potential."
CRED,Angel Investor,Miten Sampat,Ex-Chief Strategy Officer at Times Internet,,https://www.linkedin.com/in/mitensampat/,,,"Fintech, HealthTech, Edtech, Consumer, Media","Truly madly, Peppercare, Onsurity, Mojocare","Miten Sampat, an accomplished Angel Investor from Bengaluru, prioritizes investments in Content and Publishing, Data and Analytics, and Professional Services sectors. His portfolio includes notable startups such as The Yarn Bazaar, Punt Partners Private Limited, and The Signal, making Miten an active participant in supporting innovation and growth in the startup ecosystem."
Inflection Point ventures,Angel Investor,Mitesh Shah,Co-founder at Inflection Point ventures,,https://www.linkedin.com/in/mitesh-shah-0627873/?ref=ynos.in,https://twitter.com/IamMiteshShah,Up to $1M,"Edtech, SaaS, Mobility, Consumer, Media","Foshor, Devnagri, Dropshop","Mitesh Shah embarked on his professional journey with Mandhana Industries Limited, a prominent apparel manufacturing company, where he successfully managed various projects, including the company's IPO in 2010 and its exclusive global licensing deal with Salman Khan's Being Human brand in 2011. In December 2013, he joined Ola as Chief Financial Officer (CFO) and played a pivotal role in the remarkable growth of one of India's most significant start-up success stories. Later, in 2016, Mitesh took on the role of spearheading the finance function at Bookmyshow, contributing to strategic business management. Leveraging his extensive experience in the start-up ecosystem, Mitesh co-founded Inflection Point Ventures in 2018, aiming to provide smart capital and mentorship to founders of early-stage start-ups."
Teamwork Arts,Angel Investor,Mohit Satyanand,Chairman and founder at Teamwork Arts,,https://www.linkedin.com/in/mohit-satyanand-baa2b820/,,,"HealthTech, Consumer","knocksense, MyUpchar, Remedo, Bold care","Mohit Satyanand, a seasoned entrepreneur and portfolio investor, dons multiple hats as the Chairman and founder at Teamwork Arts, Managing Partner at eMagic Mountain Investments, and Director at several prominent companies. With a diverse involvement in businesses spanning consumer goods, arts management, and vocational training, Mohit is a skilled strategist. As Chairman of Liberty Institute, a policy think tank, and Advisor to iJustice, a legal initiative, he contributes to addressing legal impediments to liberty."
Mumbai Angels,VC,Maitry Shah,Sr Associate - Investments at Mumbai Angels,https://www.mumbaiangels.com/,https://www.linkedin.com/in/maitry-shah-aa805a166/,https://twitter.com/mumbaiangels/,,"AI/ML, Fintech, HealthTech, Edtech, SaaS, Mobility, Consumer, Digital Entertainment, Media","DaveAI, Brainwired, Purplle","Mumbai Angels is India's premier private investment platform for early-stage venture investments. The firm is headquartered in Mumbai and is at the forefront of building this asset class. Mumbai Angels has a strong track record of identifying and backing successful startups. The firm has invested in over 200 startups, including several unicorns. Mumbai Angels' investment process is designed to be efficient and effective. The firm's team of experts evaluates potential investments and identifies the best opportunities for angel investment. Mumbai Angels also provides its portfolio companies with access to a wide range of resources and support, including capital, mentorship, and advice. Mumbai Angels is committed to helping startups succeed. The firm believes that by providing early-stage businesses with the capital and resources they need, it can help to create a more vibrant and dynamic startup ecosystem."
Matrimony.com,Angel Investor,Murugavel Janakiraman,Founder & CEO at Matrimony.com,,https://www.linkedin.com/in/murugavel-janakiraman-0186891/,,,"HealthTech, SaaS, Consumer, Media","Docsapp, Kiko live, Thingsup, Purpll","Murugavel Janakiraman, an esteemed Member of The Chennai Angels, achieved widespread recognition for founding Bharat Matrimony, a highly successful matrimony service that has touched the lives of countless individuals. Beyond his entrepreneurial pursuits, Murugavel passionately supports various social causes, actively promoting eye donations, encouraging blood donations, and actively participating in environmental restoration initiatives."
Emcure Pharmaceuticals,Angel Investor,Namita Thapar,CEO  at Emcure Pharmaceuticals,,https://www.linkedin.com/in/namita-thapar/,,,"HealthTech, Edtech, SaaS","Bummer, Snitch, Nuutjob, Jhaji","Namita Thapar, one of India's leading businesswomen, is the CEO of Emcure Pharmaceuticals, an Indian multinational pharmaceutical company based in Pune, Maharashtra. She is one of the titular sharks on the popular TV show Shark Tank, and her popularity has skyrocketed since the show came out."
Mumbai Angels,Angel Investor,Nandini Mansinghka,CEO at Mumbai Angels,,https://www.linkedin.com/in/nandinimansinghka/,,,"AI/ML, SaaS, Mobility, Consumer, Agritech","Brainwired, Agro2o, GameOn, Zippee","Nandini Mansinghka holds the dual roles of CoPromoter and CEO at Mumbai Angels Network, an influential platform for angel investing and startup support. Prior to this, she assumed the position of Founder Investor at DigiBoosterCo and also served as the Vice President at J.P. Morgan, showcasing her diverse and dynamic career trajectory. At Mumbai Angels Network, Nandini's influence extends beyond her role as CoPromoter, as she spearheads the organization's activities and strategic initiatives. Her leadership plays a pivotal role in shaping the landscape of angel investing and fostering collaboration between investors and innovative startups. Her commitment to supporting entrepreneurship and nurturing emerging ventures has positioned her as a key figure in the Indian startup ecosystem. Before her engagement with Mumbai Angels Network, Nandini's entrepreneurial spirit was evident in her role as the Founder Investor at DigiBoosterCo. Her involvement in this capacity highlights her dedication to fostering innovation and growth within the digital domain. Her experience in this venture likely equipped her with a deep understanding of the challenges and opportunities that startups encounter, further enhancing her role at Mumbai Angels Network. Prior to her entrepreneurial pursuits, Nandini's tenure as Vice President at J.P"
InMobi,Angel Investor,Naveen Tewari,Founder at InMobi,,https://www.linkedin.com/in/naveentewari/,https://twitter.com/NaveenTewari?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,$3M - $6M,"Media, SaaS","Wooplr, Springboard, Razorpay, LetsVenture, Indus OS, Mettl, Zimmber, ZAPR, Mango Games.","Naveen, the founder of InMobi, is a visionary leader whose philosophy of continuous innovation and disruption runs through the core of InMobi. With a Bachelor's degree from the Indian Institute of Technology, Kanpur (IIT), and a Master's degree in Business Administration from Harvard Business School, Naveen brings a strong educational foundation to his entrepreneurial journey. At Harvard, he was honored with the prestigious Dean's Award, recognizing his exceptional leadership and contributions. Naveen's commitment to pushing boundaries and driving change is deeply ingrained in the culture of InMobi, inspiring its employees to embrace innovation and create lasting impact in the industry."
Nexus VP,VC (Tier 1),Utkarsh Malhotra,Analyst at Nexus VP,https://nexusvp.com/,https://www.linkedin.com/in/utkarshmalhotra92/,https://twitter.com/utkarshmalhotra,$10M - $20M,"SaaS, Consumer","Craftsvilla, Snapdeal, Shopclues, etc.","Nexus Venture Partners is a leading venture capital firm focused on seed and early-stage investments. As the first institutional investors, they provide funding ranging from $500K to $10 million during the early stages of a company. Nexus Venture Partners seeks to partner with passionate and ambitious entrepreneurs who are driving innovative ideas or capital-efficient business models that address specific customer pain points. They have a wide sector focus, including consumer internet, mobile, SaaS, healthcare, e-commerce, travel, logistics, food, insurance, banking, entertainment, data analytics, and more. By supporting startups across diverse industries, Nexus Venture Partners plays a vital role in fostering innovation and growth in the entrepreneurial ecosystem."
"Panthera Peak Ventures, India",Angel Investor,Nikhil Bhandarkar,"Founder at Panthera Peak Ventures, India",,https://www.linkedin.com/in/nikhil-b-b71a851/,,,"SaaS, Consumer","Hoovu Fresh, Omnivio, Wishlink","Nikhil Bhandarkar is an Angel Investor from India. Prominent investment areas are Software, Commerce and Shopping, Media and Entertainment and has invested in startups like Nysha Mobility Tech, Hoovu Fresh, Wishlink & 1 other."
Sixth Sense Ventures,Angel Investor,Nikhil Vora,Founder & CEO at Sixth Sense Ventures,,https://www.linkedin.com/in/nikhil-vora-07713622/,,-,"HealthTech, Mobility, Consumer","Bewakoof, Onegreen, Neemans, Pariksha","Nikhil Vora, the Founder and CEO of Sixth Sense Ventures, has established India's first consumer-centric domestic venture fund. With a background as the Managing Director and Head of Research at IDFC Securities, Nikhil is renowned for his analytical prowess and forward-thinking approach. Sixth Sense Ventures believes in investing in companies driven by unique skill sets and capabilities rather than just capital."
108 capital,Angel Investor,Nimesh Kampani,Founding partner  at 108 capital,,https://www.linkedin.com/in/nimeshkampani/,https://twitter.com/nimeshkampani,$1M - $3M,"Fintech, Edtech, Consumer","HireQuotient, Pariksha, Bimaplan, Koinbasket, Prodo, Evenflow","Nimesh Kampani is the President of LetsVenture Plus, Founder Director of Svasti Microfinance, and an Associate Vice President at Kotak Mahindra Bank. With a background in Investor Relations and Strategy, he brings a wealth of experience from the banking industry. Nimesh is skilled in areas such as banking, equity valuation, equities, and capital markets."
Ula,Angel Investor,Nipun Mehra,Founder & CEO at Ula,,https://www.linkedin.com/in/nipunmehra/,,,"Fintech, Consumer","Bharatpe, Klub, Leapclub",Nipun is a co-founder of Ula. Nipun has had previous stints building out businesses and categories at Amazon and Flipkart.
Avataar Venture Partners,Angel Investor,Nishant Rao,Founding Partner at Avataar Venture Partners,,https://www.linkedin.com/in/nishantrao/,https://twitter.com/nishrao,,"SaaS, Media, Fintech","Hubilo, NextbillionAI, Pando,","Hailing from Gurugram, Nishant Rao is a distinguished Angel Investor known for his strategic investments that have left a mark on the startup ecosystem. He has demonstrated a keen interest in various sectors, including Apps, Business Support Services, and Clothing and Apparel, showcasing his diverse investment portfolio and forwardthinking approach. Nishant's investments are a testament to his astute understanding of the potential within the tech world. His focus on Apps highlights his recognition of the transformative impact of digital solutions on contemporary lifestyles and industries. Through his investments in this arena, he exhibits his belief in the power of innovative applications to shape the future. In addition to tech, Nishant's interest in Business Support Services underscores his commitment to aiding startups in their growth journey. By backing companies that provide essential services to other businesses, he contributes to the overall ecosystem's development and prosperity."
Uni,Angel Investor,Nitin Gupta,Founder & CEO at Uni,,https://www.linkedin.com/in/nitinguptaprofile/?originalSubdomain=in,https://twitter.com/nitinwhatever?lang=en,$3M - $6M,"Fintech, SaaS, Consumer","Bharatpe, Gokwik, Finverv, Minko, Nakad, Flobiz","Nitin Gupta, an angel investor based in Bengaluru, focuses on strategic investments in sports, fintech, and edutech. With an extensive portfolio, Nitin has invested in startups such as Bold Finance, Ap Factors, Cashflo, and many others, contributing to the growth and innovation in these sectors."
Nazara Technologies,Angel Investor,Nitish Mittersain,CEO & MD at Nazara Technologies,,https://www.linkedin.com/in/nitish-mittersain-924192/,,,"Fintech, HealthTech, Edtech, Consumer, Media","Stockgro, we360.ai, MyHQ, Lifechart, knocksense","Nitish Mittersain, a dynamic entrepreneur, holds the esteemed position of Founder and Managing Director at Nazara Games, a prominent mobile game publisher renowned as India's largest and most rapidly expanding entity in its field. Operating across more than 60 countries, Nazara Games has strategically positioned itself to thrive in emerging markets, with a notable presence in India, Africa, the Middle East, and South East Asia. Nitish's exceptional leadership has been instrumental in propelling the company's growth and influence in these diverse regions. Beyond his contributions to the gaming industry, Nitish Mittersain is also deeply involved in fostering a vibrant business community. Currently, he serves as the Chairman of the Young Presidents Organization (YPO) Mumbai Connect Chapter, where he continues to play a pivotal role in creating connections and facilitating valuable interactions among young leaders. Amid his multifaceted roles and achievements, Nitish reveals another facet of his personality—he is not just confined to the business realm. With a passion for music, he finds solace and joy in playing the saxophone, a creative outlet that beautifully complements his dedication to the gaming world. Nitish Mittersain's journey exemplifies his ability to bridge various interests, making a mark both in the professional arena and personal pursuits, while continually leaving an indelible impact on the realms he ventures into."
Norwest,VC (Tier 1),Vrushin Dani,Associate at Norwest,https://www.nvp.com/,https://www.linkedin.com/in/vrushindani/,https://twitter.com/VrushinD,Greater than $20M,"SaaS, HealthTech, Consumer","Udemy, Swiggy, Plaid, Calm, Cholamandalam Finance, Duroflex, Mensa, Quickr, Pepperfry etc.","Norwest Venture Partners is a venture capital and private equity firm affiliated with Wells Fargo Investment Group, Inc. Their investment focus spans across various stages, including seed/startup, early, mid, late venture, growth equity, and later stage investments. They have expertise in both listed and unlisted companies. Norwest Venture Partners specializes in the healthcare industry, particularly in medical devices, specialty pharmaceuticals, healthcare services, and therapeutic products. By providing capital and support, they aim to fuel innovation and drive growth in these sectors. Norwest's investments range from early stage investments of $1M till large investments of $30M."
Omidyar Network,VC (Tier 2),Unnishankar Jayaprakash,Investment Team at Omidyar Network,https://omidyar.com/,https://www.linkedin.com/in/unnishankar/,https://twitter.com/unnishankar1001?lang=en,$10M - $20M,"Fintech, SaaS, HealthTech, Consumer","1MG, Bijak, Doosra, Dealshare, Goodera, HealthKart, Quickr","Omidyar Network is a mission-driven venture capital . With a strong commitment to social impact, Omidyar Network collaborates with its partners to create opportunities for individuals to unlock their potential and enhance their lives. By investing in innovative initiatives and projects, Omidyar Network empowers people to make meaningful contributions to their communities. Through their strategic investments and support, Omidyar Network aims to foster positive change and create a lasting impact on society. Omidyar invests $500k to $5M in non profit, and $1M to $10M in for-profit startups."
Orios VP,VC (Tier 2),Bhavesh Singhi,AVP at Orios VP,https://www.oriosvp.com/,https://www.linkedin.com/in/bhaveshsinghi/,https://twitter.com/bhaveshsinghi,$6M - $10M,"Fintech, SaaS, HealthTech, Consumer","Country delight, Elda health, Ixigo, Krishify, Zupee, Karbon, Mobikwik","Orios Venture Partners is a prominent Indian technology venture fund that has established a strong portfolio of path-breaking and fast-growing companies. Some notable companies in their portfolio include Pharmeasy, GoMechanic, Country Delight, Zupee, and many others. Orios takes an active approach in nurturing their invested companies, particularly in the areas of marketing and branding. They work closely with these companies to help them achieve cost-effective break-even points and cultivate a loyal user base. Through their strategic guidance and support, Orios Venture Partners aims to empower these startups to thrive and reach their full potential in the competitive technology landscape. Their usual investment cheque size ranges between $4M to $8M."
Shyft,Angel Investor,Pankaj Chaddah,Co-founder at Shyft,,https://www.linkedin.com/in/pankaj-chaddah-0a54979/,,,"HealthTech, Edtech, Consumer, Media","Urbanpiper, Shyft, Bira 91, Fitso","Pankaj, the Co-Founder and COO of Zomato, brings a wealth of expertise to the table, having worked previously with Bain and Company in New Delhi. In his current capacity, Pankaj takes charge of sales and operations for Zomato in both local and international markets, with an additional focus on mobile development and distribution. With a degree in mechanical engineering from IIT Delhi, Pankaj is a driving force behind Zomato's success."
Zomato,Angel Investor,Pankaj Chaddha,CoFounder and Chief Operating Officer (COO) at Zomato,,https://www.linkedin.com/in/pankajchaddah0a54979/?ref=ynos.in,,,"HealthTech, Edtech, SaaS, Consumer, Media","Urbanpiper, Shyft, Bira91, Fitso","Pankaj serves as the CoFounder and Chief Operating Officer (COO) of Zomato. Before his involvement with Zomato, Pankaj held a position at Bain and Company in New Delhi. In his present capacity, Pankaj is responsible for managing sales and operations for Zomato across both local and international markets. He also takes charge of overseeing all aspects related to mobile development and distribution on various platforms. Pankaj's academic background includes a degree in mechanical engineering from IIT Delhi, which he obtained in 2007."
Lenskart,Angel Investor,Peyush Bansal,Co-founder & CEO at Lenskart,,https://www.linkedin.com/in/peyushbansal/,https://twitter.com/peyushbansal,$6M - $10M,"Edtech, SaaS, Consumer, Digital Entertainment, Media","Hoovu fresh, Daily Objects, Shiprocket, Humy farms, Leverage Edu","Peyush Bansal is a notable Angel Investor from Delhi, with a strong focus on investments in the areas of Manufacturing, Design, Community, and Lifestyle. He has made investments in several startups, including Haqdarshak, Lil'Goodness, Online Live Learning (Oll), and others. In addition to his angel investing activities, Peyush Bansal is a renowned Indian entrepreneur and business executive. He is best known as the co-founder and CEO of Lenskart, a leading multinational optical prescription eyewear retail chain headquartered in Gurugram. Peyush Bansal's expertise and success in the business world have earned him recognition, including his role as a judge on the show Shark Tank India."
Redbus,Angel Investor,Phanindra Sama,Founder at Redbus,,https://www.linkedin.com/in/phanisama/,https://twitter.com/phanisama?lang=en,Up to $1M,"Edtech, SaaS, Consumer, Digital Entertainment, Media","Kaagaz, Inkmonk, Airmeet, Eka care, Unacademy, Reho tv","Phanindra Sama, a member of the Board of Directors at T Works and the Chief Innovation Officer at the Government of Telangana, is best known as the founder and former CEO of redBus.in and Pilani Soft Labs Pvt Ltd. Having launched redBus in 2006, he successfully led the company for nearly eight years, establishing it as India's largest online ticket booking platform. Currently, Phanindra Sama is actively involved in fostering innovation and driving growth as the Chief Innovation Officer of the Telangana government. His entrepreneurial journey and contributions have left a significant impact on the Indian startup ecosystem."
